leg_case,leg_stat,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ADM,CRT_BGHT,NR,AL	11952 	22223 	17557 	21425 	4432 	: 	: 	: 	: 	: 
ADM,CRT_BGHT,NR,BA	7026 	7259 	9109 	13797 	14559 	11611 	12066 	10992 	9214 	8115 
ADM,CRT_BGHT,NR,BG	30872 	24620 	25936 	24306 	25866 	28173 	27794 	: 	: 	: 
ADM,CRT_BGHT,NR,CH	: 	: 	: 	: 	: 	23788 	: 	20209 	: 	15361 
ADM,CRT_BGHT,NR,CZ	11113 	10100 	9374 	8568 	8034 	8501 	5274 	: 	: 	: 
ADM,CRT_BGHT,NR,DE	352331 	230801 	144628 	142947 	151463 	132789 	119531 	123864 	123183 	127735 
ADM,CRT_BGHT,NR,EE	2986 	2956 	3371 	3786 	2957 	2855 	3206 	3556 	3264 	2736 
ADM,CRT_BGHT,NR,EL	60100 	53934 	54402 	65131 	65353 	: 	: 	: 	: 	: 
ADM,CRT_BGHT,NR,ES	162725 	162186 	166195 	180127 	164704 	193871 	251807 	246427 	260708 	256609 
ADM,CRT_BGHT,NR,FI	21711 	27764 	20262 	20582 	19458 	19313 	20147 	22079 	21376 	19432 
ADM,CRT_BGHT,NR,FR	: 	: 	200734 	207707 	184997 	187526 	192262 	: 	: 	: 
ADM,CRT_BGHT,NR,HR	11816 	14339 	14339 	13942 	13813 	12011 	13520 	14470 	14761 	13298 
ADM,CRT_BGHT,NR,HU	16908 	19590 	18149 	18008 	22208 	12595 	12879 	14360 	13496 	12928 
ADM,CRT_BGHT,NR,IT	48555 	54565 	61723 	63723 	54902 	51366 	55437 	56716 	55073 	56021 
ADM,CRT_BGHT,NR,LT	11699 	14917 	16923 	14276 	17932 	8068 	5964 	7681 	4349 	4703 
ADM,CRT_BGHT,NR,LU	1213 	1156 	1274 	1372 	: 	: 	: 	: 	: 	: 
ADM,CRT_BGHT,NR,LV	2104 	2395 	2368 	2404 	2824 	4001 	4703 	4403 	4086 	3661 
ADM,CRT_BGHT,NR,ME	12729 	4691 	3598 	3603 	3129 	3400 	3676 	3733 	2285 	2009 
ADM,CRT_BGHT,NR,MT	81 	90 	75 	119 	337 	: 	: 	: 	: 	: 
ADM,CRT_BGHT,NR,PL	72426 	76692 	83529 	84162 	81634 	72160 	66020 	67830 	59102 	57444 
ADM,CRT_BGHT,NR,PT	25081 	26693 	34793 	: 	: 	: 	: 	: 	: 	: 
ADM,CRT_BGHT,NR,RO	146197 	117362 	103289 	90975 	193012 	243411 	160002 	100663 	56980 	53884 
ADM,CRT_BGHT,NR,RS	21480 	21115 	19956 	18125 	21396 	: 	: 	: 	: 	: 
ADM,CRT_BGHT,NR,SE	163528 	143882 	127631 	133024 	132257 	129382 	128686 	131112 	125456 	119623 
ADM,CRT_BGHT,NR,SI	: 	2972 	2953 	3290 	3281 	3174 	3635 	3339 	3607 	4299 
ADM,CRT_BGHT,NR,SK	78 	171 	182 	354 	204 	243 	274 	379 	237 	244 
ADM,CRT_BGHT,NR,TR	: 	618330 	491943 	435587 	433619 	381917 	386616 	424789 	353371 	: 
ADM,CRT_BGHT,NR,UKC-L	: 	477956 	441925 	374677 	914084 	830676 	811527 	834803 	806235 	649222 
ADM,CRT_BGHT,NR,UKN	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
ADM,CRT_BGHT,NR,XK	2380 	2216 	2300 	2568 	1720 	1637 	1550 	1244 	1031 	1402 
ADM,CRT_BGHT,P_HTHAB,AL	415.49 	770.02 	607.03 	739.83 	: 	: 	: 	: 	: 	: 
ADM,CRT_BGHT,P_HTHAB,BA	: 	: 	: 	: 	: 	302.43 	313.96 	285.95 	239.70 	211.12 
ADM,CRT_BGHT,P_HTHAB,BG	434.70 	344.15 	360.11 	335.46 	355.08 	384.50 	377.15 	: 	: 	: 
ADM,CRT_BGHT,P_HTHAB,CH	: 	: 	: 	: 	: 	299.04 	: 	259.56 	: 	202.29 
ADM,CRT_BGHT,P_HTHAB,CZ	105.05 	95.70 	88.95 	81.50 	76.40 	80.92 	50.29 	: 	: 	: 
ADM,CRT_BGHT,P_HTHAB,DE	426.96 	280.86 	178.12 	176.99 	188.10 	165.31 	149.00 	151.42 	150.22 	155.36 
ADM,CRT_BGHT,P_HTHAB,EE	226.96 	224.63 	256.38 	287.73 	223.99 	215.44 	241.11 	266.71 	244.36 	204.42 
ADM,CRT_BGHT,P_HTHAB,EL	558.13 	500.14 	501.03 	596.07 	593.92 	: 	: 	: 	: 	: 
ADM,CRT_BGHT,P_HTHAB,ES	349.74 	349.24 	357.80 	387.27 	352.47 	414.09 	539.58 	530.10 	563.82 	561.89 
ADM,CRT_BGHT,P_HTHAB,FI	394.51 	505.97 	370.30 	377.56 	358.56 	357.56 	374.81 	412.58 	401.33 	366.61 
ADM,CRT_BGHT,P_HTHAB,FR	: 	: 	301.91 	314.98 	282.01 	287.28 	295.88 	: 	: 	: 
ADM,CRT_BGHT,P_HTHAB,HR	284.43 	342.16 	339.36 	328.29 	324.09 	280.89 	315.16 	336.29 	342.50 	308.40 
ADM,CRT_BGHT,P_HTHAB,HU	172.57 	199.28 	184.15 	182.32 	224.12 	126.81 	128.97 	143.39 	134.54 	128.70 
ADM,CRT_BGHT,P_HTHAB,IT	80.14 	89.94 	101.53 	104.84 	91.99 	86.48 	93.38 	95.82 	93.34 	95.51 
ADM,CRT_BGHT,P_HTHAB,LT	410.79 	516.42 	579.30 	485.01 	603.38 	268.61 	195.38 	244.46 	136.60 	146.39 
ADM,CRT_BGHT,P_HTHAB,LU	205.36 	200.61 	226.30 	249.60 	: 	: 	: 	: 	: 	: 
ADM,CRT_BGHT,P_HTHAB,LV	107.89 	121.64 	119.23 	120.11 	139.54 	195.67 	226.69 	207.64 	188.92 	167.03 
ADM,CRT_BGHT,P_HTHAB,ME	2045.19 	753.92 	578.36 	579.71 	503.95 	548.11 	593.05 	603.07 	370.25 	326.38 
ADM,CRT_BGHT,P_HTHAB,MT	17.60 	20.72 	17.47 	27.97 	79.98 	: 	: 	: 	: 	: 
ADM,CRT_BGHT,P_HTHAB,PL	190.73 	202.00 	219.78 	221.37 	214.47 	189.58 	173.45 	178.39 	154.98 	150.71 
ADM,CRT_BGHT,P_HTHAB,PT	243.28 	258.12 	335.36 	: 	: 	: 	: 	: 	: 	: 
ADM,CRT_BGHT,P_HTHAB,RO	744.22 	593.93 	519.81 	456.08 	964.09 	1211.24 	747.19 	469.02 	278.76 	261.12 
ADM,CRT_BGHT,P_HTHAB,RS	305.10 	298.39 	280.50 	253.61 	297.93 	: 	: 	: 	: 	: 
ADM,CRT_BGHT,P_HTHAB,SE	1636.07 	1460.58 	1309.39 	1379.22 	1384.04 	1364.38 	1366.74 	1403.67 	1355.35 	1302.67 
ADM,CRT_BGHT,P_HTHAB,SI	: 	143.98 	143.15 	159.62 	159.36 	154.42 	177.30 	163.12 	177.48 	213.85 
ADM,CRT_BGHT,P_HTHAB,SK	1.44 	3.15 	3.36 	6.54 	3.77 	4.50 	5.08 	7.03 	4.40 	4.54 
ADM,CRT_BGHT,P_HTHAB,TR	: 	785.27 	633.16 	568.15 	573.36 	511.10 	524.42 	585.42 	494.11 	: 
ADM,CRT_BGHT,P_HTHAB,UKC-L	: 	821.97 	766.28 	655.30 	1610.48 	1473.61 	1450.91 	1505.11 	1464.84 	1188.72 
ADM,CRT_BGHT,P_HTHAB,UKN	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
ADM,CRT_BGHT,P_HTHAB,XK	133.44 	125.08 	: 	: 	: 	: 	86.39 	56.34 	47.28 	65.11 
ADM,CRT_PEN,NR,AL	3018 	3823 	3613 	3841 	1538 	: 	: 	: 	: 	: 
ADM,CRT_PEN,NR,BA	7353 	8081 	9400 	16440 	14746 	11614 	11599 	1107 	8982 	7625 
ADM,CRT_PEN,NR,BG	9410 	7714 	8736 	8444 	8623 	10886 	8581 	: 	: 	: 
ADM,CRT_PEN,NR,CH	: 	: 	: 	: 	: 	15190 	16911 	13267 	14190 	4584 
ADM,CRT_PEN,NR,CZ	10670 	10101 	9148 	9062 	8601 	8964 	8811 	: 	: 	: 
ADM,CRT_PEN,NR,DE	338078 	189173 	122532 	125197 	110953 	105768 	106400 	111073 	111606 	115828 
ADM,CRT_PEN,NR,EE	: 	: 	: 	: 	: 	1026 	732 	1329 	: 	: 
ADM,CRT_PEN,NR,EL	200978 	236881 	263476 	308863 	345199 	: 	: 	: 	: 	: 
ADM,CRT_PEN,NR,ES	152023 	157415 	176418 	203931 	226273 	285005 	335512 	326948 	332458 	313445 
ADM,CRT_PEN,NR,FI	16251 	17886 	13962 	13962 	11870 	11487 	11760 	12536 	12280 	11231 
ADM,CRT_PEN,NR,FR	: 	: 	167378 	163461 	156224 	164241 	176057 	: 	: 	: 
ADM,CRT_PEN,NR,HR	10566 	13693 	15024 	13978 	12003 	7075 	32568 	35303 	36449 	36871 
ADM,CRT_PEN,NR,HU	5467 	5827 	5776 	6734 	5320 	5479 	6483 	7584 	6951 	6230 
ADM,CRT_PEN,NR,IT	184410 	212095 	241865 	267247 	298221 	320829 	441496 	504382 	629493 	671288 
ADM,CRT_PEN,NR,LT	2604 	4126 	10749 	10701 	9188 	2984 	2830 	2777 	1507 	1592 
ADM,CRT_PEN,NR,LV	1422 	1416 	1376 	1545 	2570 	4349 	5507 	5449 	5350 	4265 
ADM,CRT_PEN,NR,ME	10740 	2719 	2157 	1810 	1473 	1701 	1264 	1220 	1282 	1620 
ADM,CRT_PEN,NR,MT	374 	413 	418 	683 	753 	: 	: 	: 	: 	: 
ADM,CRT_PEN,NR,PL	25726 	30867 	33167 	30991 	28070 	22131 	21837 	21267 	17558 	: 
ADM,CRT_PEN,NR,PT	71344 	72612 	75575 	: 	: 	: 	: 	: 	: 	: 
ADM,CRT_PEN,NR,RO	66285 	69388 	59059 	84190 	110336 	140907 	91848 	52358 	27282 	18628 
ADM,CRT_PEN,NR,RS	30750 	28176 	25896 	24262 	24988 	: 	: 	: 	: 	: 
ADM,CRT_PEN,NR,SE	59263 	43229 	33760 	38990 	42542 	42450 	50389 	58528 	46401 	40732 
ADM,CRT_PEN,NR,SI	: 	2000 	1617 	1669 	1818 	1923 	2416 	2300 	3057 	4285 
ADM,CRT_PEN,NR,SK	88 	121 	128 	123 	106 	100 	116 	141 	163 	187 
ADM,CRT_PEN,NR,TR	: 	209919 	168262 	148044 	164392 	127635 	169291 	198349 	160445 	: 
ADM,CRT_PEN,NR,UKC-L	: 	450710 	396463 	366596 	862897 	836476 	746765 	727299 	627688 	462526 
ADM,CRT_PEN,NR,XK	5304 	5192 	5380 	4039 	2560 	1616 	1384 	1028 	792 	1087 
ADM,CRT_PEN,P_HTHAB,AL	104.92 	132.47 	124.92 	132.63 	: 	: 	: 	: 	: 	: 
ADM,CRT_PEN,P_HTHAB,BA	: 	: 	: 	: 	: 	302.51 	301.81 	28.80 	233.66 	198.37 
ADM,CRT_PEN,P_HTHAB,BG	132.50 	107.83 	121.30 	116.54 	118.37 	148.57 	116.44 	: 	: 	: 
ADM,CRT_PEN,P_HTHAB,CH	: 	: 	: 	: 	: 	190.96 	214.88 	170.40 	184.24 	60.37 
ADM,CRT_PEN,P_HTHAB,CZ	100.86 	95.71 	86.81 	86.20 	81.79 	85.33 	84.02 	: 	: 	: 
ADM,CRT_PEN,P_HTHAB,DE	409.68 	230.21 	150.91 	155.01 	137.79 	131.67 	132.63 	135.78 	136.10 	140.88 
ADM,CRT_PEN,P_HTHAB,EE	: 	: 	: 	: 	: 	77.42 	55.05 	99.68 	: 	: 
